@relation luxembourg-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 {0,1}
@attribute att7 {0,1}
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 {0,1}
@attribute att19 {0,1}
@attribute att20 {0,1}
@attribute att21 {0,1}
@attribute att22 {0,1}
@attribute att23 {0,1}
@attribute att24 {0,1}
@attribute att25 {0,1}
@attribute att26 {0,1}
@attribute att27 {0,1}
@attribute att28 {0,1}
@attribute att29 {0,1}
@attribute att30 {0,1}
@attribute att31 numeric
@attribute class {0,1}

@data

0.57143,0.85714,0.66667,0.5,0.4,1,1,0.5,0.5,0.75,0.0,0.0,1.0,0.0,0.113922,0.076922,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.041288,1
0.71429,0.0,0.66667,0.8,0.5,1,1,0.8,0.16667,0.5,0.33333,0.0,0.5,0.428584,0.746836,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041288,1
0.71429,0.14286,0.33333,0.8,0.2,1,1,0.8,0.83333,0.0,0.5,0.0,0.5,0.285717,0.721519,0.0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.04152,0
0.42857,0.28571,0.66667,0.0,0.0,1,1,1.0,0.5,0.25,0.66667,0.0,1.0,0.428584,0.645566,0.0,0.83333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041586,1
0.42857,0.0,0.66667,0.0,0.0,1,1,0.9,0.16667,0.0,1.0,0.0,1.0,0.428584,0.607602,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.041718,1
0.57143,0.0,0.33333,0.8,0.6,1,1,0.6,0.5,0.5,1.0,0.0,0.5,0.285717,0.746836,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.041784,0
1.0,0.28571,0.0,0.1,0.1,1,1,1.0,0.0,0.25,1.0,0.0,1.0,0.285717,0.544308,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04185,0
0.42857,0.14286,0.0,0.1,0.1,0,1,1.0,0.16667,0.0,0.0,0.0,0.5,0.428584,0.670884,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.043071,0
0.71429,0.28571,0.33333,0.6,0.6,1,1,0.7,0.5,0.75,0.0,0.0,0.75,0.428584,0.41772,0.015384,0.83333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.043104,0
1.0,0.28571,0.33333,0.7,0.5,1,1,0.7,0.83333,0.25,0.5,0.0,1.0,0.714307,0.759495,0.015384,0.16667,0,1,1,1,1,1,1,1,1,1,1,1,1,0.043104,0
0.85714,0.28571,0.66667,0.2,0.7,1,1,0.7,0.66667,0.5,1.0,0.0,1.0,0.571446,0.594943,0.0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.043368,1
0.0,0.0,0.33333,0.6,0.5,0,0,0.8,0.33333,0.0,1.0,0.0,1.0,0.0,0.531649,0.076922,0.83333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044259,0
0.42857,0.0,0.66667,0.4,0.4,1,1,1.0,0.66667,0.25,1.0,0.0,1.0,0.857139,0.70886,0.0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.044589,1
0.85714,0.71429,0.66667,0.3,0.2,1,1,0.9,1.0,0.0,0.16667,0.0,0.25,0.714307,0.924047,0.030769,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044721,1
0.71429,0.14286,0.33333,0.8,1.0,0,1,0.7,0.66667,0.5,0.83333,0.0,0.75,0.428584,0.556967,0.0,0.16667,0,1,1,1,1,1,1,1,1,1,1,1,1,0.044721,0
1.0,0.0,0.0,0.5,0.5,1,1,0.9,1.0,0.25,1.0,0.0,1.0,0.428584,0.721519,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045084,0
0.71429,0.14286,0.66667,0.3,0.4,1,1,0.8,0.66667,0.25,1.0,0.0,1.0,0.428584,0.670884,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04581,1
0.42857,0.85714,0.33333,0.1,0.5,0,1,0.9,1.0,0.5,1.0,0.0,0.75,0.0,0.227851,0.076922,0.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046041,0
0.57143,0.14286,0.66667,0.2,0.5,1,1,1.0,1.0,0.25,0.16667,0.0,1.0,0.571446,0.632908,0.015384,0.16667,0,1,1,1,1,1,1,1,1,1,1,1,1,0.046107,1
0.57143,0.28571,0.33333,0.4,0.2,0,1,0.8,1.0,0.0,1.0,0.0,1.0,0.285717,0.860765,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.047394,0
