@relation NOAA-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 numeric
@attribute attribute4 numeric
@attribute attribute5 numeric
@attribute attribute6 numeric
@attribute attribute7 numeric
@attribute attribute8 numeric
@attribute class {1,2}

@data

0.302303,0.384318,0.00871,0.334677,0.351254,0.29724,0.320611,0.343184,1
0.369482,0.463698,0.005748,0.322581,0.387097,0.363057,0.363868,0.409914,1
0.444338,0.56728,0.005394,0.153226,0.491039,0.426752,0.380831,0.525262,2
0.365643,0.456922,0.005902,0.318548,0.666667,0.598726,0.41391,0.36225,2
0.253359,0.325266,0.006566,0.322581,0.501792,0.426752,0.253605,0.29552,1
0.40595,0.468538,0.007715,0.504032,0.329749,0.322718,0.43257,0.390848,1
0.46929,0.541142,0.007074,0.427419,0.286738,0.322718,0.499576,0.50429,1
0.460653,0.540174,0.004996,0.387097,0.21147,0.322718,0.440204,0.50429,1
0.255278,0.35334,0.010036,0.318548,0.706093,0.511677,0.346904,0.276454,1
0.212092,0.300097,0.013197,0.189516,0.523297,0.363057,0.184902,0.29552,1
0.259117,0.364956,0.012976,0.100806,0.326165,0.174098,0.244275,0.29552,2
0.283109,0.363988,0.011097,0.366935,0.232975,0.174098,0.279898,0.305052,2
0.301344,0.380445,0.008599,0.471774,0.175627,0.174098,0.389313,0.313632,1
0.341651,0.450145,0.008002,0.169355,0.179211,0.174098,0.363868,0.35367,1
0.464491,0.601162,0.005217,0.03629,0.232975,0.278132,0.406277,0.533842,2
0.288868,0.369797,0.009417,0.310484,0.666667,0.511677,0.373198,0.29552,1
0.179463,0.247822,0.011539,0.383065,0.379928,0.426752,0.228159,0.219256,1
0.283109,0.363988,0.008422,0.298387,0.358423,0.44586,0.270568,0.305052,1
0.193858,0.241045,0.011318,0.33871,0.451613,0.426752,0.211196,0.209724,1
0.210173,0.274927,0.011451,0.274194,0.480287,0.426752,0.220526,0.267874,1
0.212092,0.312682,0.009638,0.209677,0.344086,0.29724,0.228159,0.227836,2
0.158349,0.242982,0.011031,0.173387,0.25448,0.174098,0.236641,0.161106,2
0.388676,0.521781,0.008489,0.032258,0.344086,0.343949,0.363868,0.399428,2
0.173704,0.255566,0.011363,0.21371,0.641577,0.426752,0.228159,0.209724,2
0.139155,0.221684,0.012998,0.193548,0.505376,0.343949,0.13486,0.219256,1
0.190979,0.280736,0.011584,0.322581,0.354839,0.235669,0.220526,0.238322,1
0.290787,0.392062,0.008356,0.16129,0.329749,0.511677,0.244275,0.36225,2
0.198656,0.295257,0.009196,0.137097,0.78853,0.619958,0.228159,0.227836,1
0.088292,0.153921,0.013573,0.459677,0.387097,0.235669,0.091603,0.13346,1
0.087332,0.13456,0.011495,0.596774,0.430108,0.44586,0.177269,0.104862,1
0.228407,0.314618,0.008953,0.431452,0.275986,0.235669,0.337574,0.246902,1
0.212092,0.286544,0.01081,0.455645,0.293907,0.322718,0.253605,0.209724,1
0.12476,0.191675,0.011562,0.362903,0.390681,0.322718,0.203562,0.14204,1
0.326296,0.42788,0.008179,0.201613,0.365591,0.29724,0.287532,0.313632,2
0.166027,0.250726,0.008975,0.217742,0.344086,0.214437,0.211196,0.161106,1
0.285988,0.389158,0.008113,0.185484,0.318996,0.29724,0.312977,0.313632,2
0.297505,0.405615,0.007383,0.322581,0.408602,0.426752,0.320611,0.29552,2
0.31286,0.399806,0.0063,0.435484,0.344086,0.322718,0.380831,0.29552,1
0.335893,0.42304,0.006035,0.568548,0.455197,0.511677,0.363868,0.343184,1
0.28215,0.350436,0.008467,0.5,0.232975,0.322718,0.406277,0.267874,1
0.237044,0.304937,0.010279,0.552419,0.46595,0.511677,0.337574,0.201144,1
0.40691,0.500484,0.007229,0.46371,0.458781,0.322718,0.440204,0.399428,1
0.355086,0.460794,0.006632,0.298387,0.426523,0.426752,0.43257,0.343184,1
