@relation PAKDD2009_27attributes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute id_shop numeric
@attribute sex {M,F}
@attribute marital {S,C,D,V,O}
@attribute age numeric
@attribute dependants numeric
@attribute phone {Y,N}
@attribute area numeric
@attribute payday numeric
@attribute shoprank numeric
@attribute residence {P,A,C,O}
@attribute time numeric
@attribute mother {Y,N}
@attribute father {Y,N}
@attribute town {Y,N}
@attribute state {Y,N}
@attribute months numeric
@attribute prof numeric
@attribute income numeric
@attribute address {Y,N}
@attribute card {Y,N}
@attribute accounts numeric
@attribute mobile {Y,N}
@attribute contact {Y,N}
@attribute netincome numeric
@attribute booth numeric
@attribute cards numeric
@attribute insurance {Y,N}
@attribute class {0,1}

@data

0.221053,F,O,0.3625,0.0,N,0.434783,0.407407,0.0,P,0.010101,Y,Y,N,Y,0.040816,0.731732,0.0,Y,N,0.0,N,N,8.0E-6,0.0,0.0,N,0
0.147368,F,S,0.0375,0.0,Y,0.434783,0.703704,0.0,P,0.181818,Y,Y,Y,Y,0.010204,0.853854,0.0,Y,N,0.0,N,N,8.0E-6,0.0,0.0,N,0
0.242105,F,C,0.0875,0.0,Y,0.434783,0.259259,0.0,P,0.040404,Y,N,Y,Y,0.010204,0.04004,0.0,Y,N,0.0,N,N,6.0E-6,0.0,0.0,N,0
0.115789,F,C,0.4,0.0,N,0.434783,0.888889,0.0,P,0.151515,Y,Y,N,Y,0.020408,0.035035,0.0,Y,N,0.0,N,N,8.0E-6,0.0,0.0,N,0
0.157895,F,S,0.1625,0.0,Y,0.434783,0.888889,0.0,O,0.010101,Y,Y,Y,Y,0.010204,0.024024,0.0,Y,N,0.0,N,N,6.0E-6,0.0,0.0,N,0
0.242105,M,S,0.1375,0.0,N,0.434783,1.0,0.0,P,0.151515,Y,Y,N,Y,0.0,1.0,0.0,Y,N,0.0,N,N,2.1E-5,0.0,0.0,N,0
0.568421,F,S,0.0875,0.0,Y,0.434783,0.407407,0.0,A,0.0,Y,Y,Y,Y,0.040816,1.0,0.0,Y,N,0.0,N,N,1.1E-5,0.0,0.0,N,0
0.052632,F,C,0.075,0.0,Y,0.318841,1.0,0.0,A,0.020202,Y,Y,Y,Y,0.010204,0.04004,0.005333,Y,N,0.0,N,N,6.0E-6,0.0,0.0,N,0
0.021053,F,S,0.15,0.0,Y,0.434783,0.703704,0.0,A,0.0,Y,Y,Y,Y,0.0,0.950951,0.0,Y,N,0.0,N,N,2.6E-5,0.0,0.0,N,1
0.231579,F,C,0.525,0.0,Y,0.434783,0.407407,0.0,P,0.020202,Y,Y,N,Y,0.081633,0.013013,0.0,Y,N,0.0,N,N,2.2E-5,0.0,0.0,N,0
0.252632,F,S,0.475,0.0,Y,0.434783,0.62963,0.0,P,0.050505,Y,Y,N,Y,0.020408,0.013013,0.0,Y,N,0.0,N,N,1.9E-5,0.0,0.333333,N,1
0.115789,F,C,0.2125,0.0,Y,0.434783,0.407407,0.0,P,0.020202,Y,Y,N,Y,0.0,0.165165,0.0,Y,N,0.0,N,N,1.8E-5,0.0,0.0,N,0
0.063158,M,S,0.075,0.0,Y,0.0,0.074074,0.0,P,0.151515,Y,Y,N,N,0.020408,0.514515,0.0,N,N,0.0,N,N,9.0E-6,0.0,0.0,N,0
0.242105,M,C,0.2625,0.0,Y,0.434783,0.407407,0.0,P,0.10101,Y,Y,Y,Y,0.030612,0.015015,0.0,Y,N,0.0,N,N,5.2E-5,0.0,0.333333,N,0
0.063158,M,S,0.1375,0.0,Y,0.376812,0.0,0.0,P,0.20202,Y,Y,N,Y,0.010204,0.026026,0.0,Y,N,0.0,N,N,2.6E-5,0.0,0.0,N,0
0.189474,F,S,0.425,0.0,N,0.710145,0.703704,0.0,P,0.10101,Y,Y,N,Y,0.0,0.703704,0.0,Y,N,0.0,N,N,6.0E-6,0.0,0.0,N,0
1.0,F,S,0.0375,0.0,Y,0.434783,0.703704,0.0,P,0.181818,Y,Y,Y,Y,0.081633,0.06006,0.0,Y,N,0.0,N,N,4.0E-6,0.0,0.0,N,0
0.568421,M,O,0.3625,0.0,Y,0.434783,0.259259,0.0,P,0.060606,Y,Y,Y,Y,0.010204,0.135135,0.0,Y,N,0.0,N,N,1.0E-5,0.0,0.0,N,0
0.568421,F,V,0.3875,0.0,N,0.710145,0.407407,0.0,P,0.30303,Y,Y,N,Y,0.102041,0.704705,0.0,Y,N,0.0,N,N,1.3E-5,0.0,0.0,N,0
0.242105,M,S,0.0625,0.0,Y,0.434783,1.0,0.0,P,0.020202,Y,Y,Y,Y,0.010204,1.0,0.0,Y,N,0.0,N,N,1.3E-5,0.0,0.0,N,1
0.084211,M,C,0.1375,0.0,Y,0.057971,0.62963,0.0,C,0.222222,Y,Y,N,Y,0.030612,0.079079,0.0,Y,N,0.0,N,N,1.3E-5,0.0,0.0,N,1
0.0,M,C,0.025,0.0,N,0.710145,0.407407,0.0,A,0.010101,Y,Y,N,Y,0.010204,0.038038,0.0,Y,N,0.0,N,N,1.1E-5,0.0,0.0,N,1
0.189474,F,C,0.0625,0.0,Y,0.434783,1.0,0.0,P,0.10101,Y,Y,N,Y,0.0,1.0,0.0,Y,N,0.0,N,N,1.3E-5,0.0,0.0,N,0
0.210526,F,S,0.3875,0.0,Y,0.434783,0.259259,0.0,A,0.040404,Y,Y,Y,Y,0.163265,1.0,0.0,Y,N,0.0,N,N,8.0E-5,0.0,0.0,N,0
0.252632,F,C,0.325,0.0,Y,0.710145,0.259259,0.0,P,0.010101,Y,Y,Y,Y,0.102041,0.034034,0.0,Y,N,0.0,N,N,3.0E-5,0.0,0.0,N,0
0.115789,M,S,0.0625,0.0,Y,0.710145,0.407407,0.0,P,0.010101,Y,Y,Y,Y,0.020408,0.039039,0.0,Y,N,0.0,N,N,7.0E-6,0.0,0.0,N,1
0.2,F,D,0.6125,0.0,Y,0.710145,0.074074,0.0,A,0.010101,Y,Y,Y,Y,0.05102,0.072072,0.0,Y,N,0.0,N,N,1.8E-5,0.0,0.333333,N,1
0.147368,F,D,0.7,0.0,Y,0.434783,0.62963,0.0,A,0.080808,Y,Y,N,Y,0.010204,0.013013,0.0,Y,N,0.0,N,N,5.0E-6,0.0,0.0,N,0
0.136842,F,S,0.225,0.0,Y,0.434783,0.407407,0.0,P,0.333333,Y,Y,Y,Y,0.040816,0.026026,0.0,Y,N,0.0,N,N,7.0E-6,0.0,0.0,N,0
0.0,F,S,0.3875,0.0,Y,0.434783,0.259259,0.0,P,0.060606,Y,Y,N,Y,0.010204,0.801802,0.0,Y,N,0.0,N,N,1.1E-5,0.0,0.0,N,0
0.115789,M,C,0.1125,0.0,N,0.434783,0.703704,0.0,P,0.20202,Y,Y,Y,Y,0.010204,0.03003,0.0,Y,N,0.0,N,N,8.0E-6,0.0,0.0,N,0
0.115789,F,S,0.1,0.0,N,0.434783,0.62963,0.0,P,0.232323,Y,Y,Y,Y,0.0,1.0,0.0,Y,N,0.0,N,N,7.0E-6,0.0,0.0,N,1
0.052632,F,C,0.2625,0.0,N,0.710145,0.259259,0.0,P,0.20202,Y,Y,N,Y,0.010204,0.713714,0.0,Y,N,0.0,N,N,6.0E-6,0.0,0.0,N,0
0.021053,F,S,0.3125,0.0,Y,0.434783,1.0,0.0,P,0.020202,Y,Y,Y,Y,0.0,0.305305,0.0,Y,N,0.0,N,N,2.6E-5,0.0,0.0,N,0
0.568421,F,S,0.1,0.0,Y,0.710145,0.407407,0.0,P,0.030303,Y,Y,Y,Y,0.020408,0.653654,0.0,Y,N,0.0,N,N,1.0E-5,0.0,0.0,N,0
0.115789,F,S,0.15,0.0,Y,0.434783,0.814815,0.0,P,0.020202,Y,Y,Y,Y,0.010204,0.072072,0.0,Y,N,0.0,N,N,9.0E-6,0.0,0.0,N,0
0.252632,M,S,0.0375,0.0,Y,0.434783,0.814815,0.0,P,0.191919,Y,Y,N,Y,0.0,0.950951,0.0,Y,N,0.0,N,N,2.1E-5,0.0,0.0,N,1
0.242105,F,O,0.2,0.0,N,0.710145,1.0,0.0,P,0.141414,Y,Y,Y,Y,0.061224,0.801802,0.0,Y,N,0.0,N,N,1.2E-5,0.0,0.0,N,0
