@relation airlines-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Airline {US,AA,AS,CO,DL,B6,HA,OO,9E,OH,EV,XE,YV,UA,MQ,FL,F9,WN}
@attribute Flight numeric
@attribute AirportFrom {PHX,LAX,SFO,ANC,LAS,SLC,DEN,ONT,FAI,BQN,PSE,HNL,BIS,IYK,EWR,BOS,MKE,GFK,OMA,GSO,LMT,SEA,MCO,TPA,DLH,MSP,FAR,MFE,MSY,VPS,BWI,MAF,LWS,RST,ALB,DSM,CHS,MSN,JAX,SAT,PNS,BHM,LIT,SAV,BNA,ICT,ECP,DHN,MGM,CAE,PWM,ACV,EKO,PHL,ATL,PDX,RIC,BTR,HRL,MYR,TUS,SBN,CAK,TVC,CLE,ORD,DAY,MFR,BTV,TLH,TYS,DFW,FLL,AUS,CHA,CMH,LRD,BRO,CRP,LAN,PVD,FWA,JFK,LGA,OKC,PIT,PBI,ORF,DCA,AEX,SYR,SHV,VLD,BDL,FAT,BZN,RDM,LFT,IPL,EAU,ERI,BUF,IAH,MCI,AGS,ABI,GRR,LBB,CLT,LEX,MBS,MOD,AMA,SGF,AZO,ABE,SWF,BGM,AVP,FNT,GSP,ATW,ITH,TUL,COS,ELP,ABQ,SMF,STL,IAD,DTW,RDU,RSW,OAK,ROC,IND,CVG,MDW,SDF,ABY,TRI,XNA,ROA,MLI,LYH,EVV,HPN,FAY,EWN,CSG,GPT,MLU,MOB,OAJ,CHO,ILM,BMI,PHF,ACY,JAN,CID,GRK,HOU,CRW,HTS,PSC,BOI,SBP,CLD,PSP,SBA,MEM,MRY,GEG,RDD,PAH,CMX,SPI,EUG,CIC,PIH,SGU,COD,MIA,MHT,GRB,FSD,SJU,AVL,BFL,RAP,DRO,PIA,OGG,SIT,TXK,RNO,DAL,SCE,MEI,MDT,FCA,SJC,KOA,PLN,SAN,GNV,HLN,GJT,CPR,FSM,CMI,GTF,HDN,ITO,MTJ,HSV,BTM,BIL,COU,MSO,SMX,TWF,ISP,GCC,LIH,LNK,DAB,SNA,MQT,LGB,CWA,LSE,BUR,ACT,MHK,MOT,IDA,SUN,GTR,MLB,SRQ,JAC,ASE,LCH,JNU,ROW,BQK,YUM,FLG,EGE,GUC,EYW,RKS,BGR,ELM,ADQ,OTZ,OTH,STT,KTN,BET,SJT,CDC,CEC,SPS,SCC,STX,OME,MKG,WRG,TYR,BRW,GGG,PSG,BKG,YAK,CLL,SAF,CYS,LWB,CDV,FLO,BLI,DBQ,TOL,UTM,PIE,ADK,ABR,TEX,MMH,GUM}
@attribute AirportTo {CLT,DFW,SEA,IAH,MSP,DTW,ORD,ATL,PDX,JFK,SLC,HNL,PHX,MCO,OGG,LAX,KOA,ITO,SFO,MIA,IAD,SMF,PHL,LIH,DEN,LGA,MEM,CVG,YUM,CWA,MKE,BQN,FAI,LAS,ANC,BOS,LGB,FLL,SJU,EWR,DCA,BWI,RDU,MCI,TYS,SAN,ONT,OAK,MDW,BNA,DAL,CLE,JAX,JNU,RNO,ELP,SAT,OTZ,MBS,BDL,STL,HOU,AUS,SNA,SJC,LIT,TUS,TUL,CMH,LAN,IND,AMA,CRP,PIT,RKS,FWA,TPA,PBI,JAN,DSM,ADQ,GRB,PVD,ABQ,SDF,RSW,MSY,BUR,BOI,TLH,BHM,ACV,ORF,BET,KTN,RIC,SRQ,BTR,XNA,MHT,GRR,SBN,SBA,ROA,CID,GPT,MFR,SGU,HPN,OMA,OTH,GSP,LMT,BUF,MSN,BFL,CAE,HRL,OKC,SYR,COS,BTV,CDC,SCC,DAY,SJT,TVC,ROC,ISP,MRY,SBP,MLI,MOB,CIC,SAV,FAT,EKO,GEG,ECP,LFT,SUN,HSV,SHV,CHA,CAK,BZN,MAF,GSO,MDT,PHF,ICT,AZO,RAP,CHS,CLD,MKG,VPS,PIH,ATW,AGS,PNS,BIL,SPI,FAR,CPR,PIA,SPS,TWF,LBB,ALB,CEC,DRO,GJT,GNV,RST,AVL,GRK,PSP,LEX,TRI,SGF,FSM,RDD,OME,MFE,LSE,BMI,MYR,FAY,FSD,EUG,MGM,EVV,MLB,FNT,STT,WRG,ABE,BIS,MOT,MLU,GFK,RDM,COU,LRD,PSC,MOD,PWM,ILM,ABY,CRW,TXK,BRO,BRW,EYW,DAB,ROW,ABI,EAU,TYR,MSO,FLG,CSG,VLD,DHN,OAJ,AEX,CHO,SAF,GGG,FCA,ASE,BKG,MHK,LNK,MQT,YAK,GTR,SMX,SWF,ITH,AVP,ELM,BGM,SIT,PSG,CYS,CLL,SCE,LWB,LCH,GCC,IYK,LWS,COD,HLN,BQK,GTF,DLH,BTM,EGE,IDA,JAC,HDN,MTJ,CMX,CMI,CDV,LYH,ACT,STX,IPL,PAH,HTS,MEI,BLI,ERI,EWN,FLO,ACY,DBQ,TOL,GUC,PLN,BGR,PSE,PIE,UTM,ADK,ABR,TEX,MMH,GUM}
@attribute DayOfWeek {1,2,3,4,5,6,7}
@attribute Time numeric
@attribute Length numeric
@attribute Delay {0,1}

@data

CO,0.034302,SFO,IAH,3,0.003499,0.312977,1
US,0.199283,PHX,CLT,3,0.003499,0.338931,1
AA,0.307052,LAX,DFW,3,0.006998,0.251908,1
AA,0.3155,SFO,DFW,3,0.006998,0.29771,1
AS,0.013695,ANC,SEA,3,0.013996,0.308397,0
CO,0.139895,LAX,IAH,3,0.013996,0.276336,1
DL,0.226162,LAX,MSP,3,0.013996,0.335878,0
DL,0.348266,PHX,DTW,3,0.013996,0.348092,0
DL,0.333419,SFO,MSP,3,0.017495,0.329771,1
AA,0.324715,LAS,ORD,3,0.020994,0.305344,1
CO,0.028414,ANC,SEA,3,0.027292,0.30687,1
DL,0.210547,PHX,ATL,3,0.027992,0.323664,1
DL,0.262895,SLC,ATL,3,0.027992,0.320611,0
AA,0.308076,LAX,DFW,3,0.031491,0.259542,0
AS,0.016767,ANC,PDX,3,0.031491,0.328244,0
US,0.063612,DEN,CLT,3,0.031491,0.273282,0
B6,0.012415,DEN,JFK,3,0.03429,0.325191,0
CO,0.191348,LAS,IAH,3,0.03499,0.247328,0
DL,0.18546,LAS,MSP,3,0.03499,0.276336,0
CO,0.064764,ONT,IAH,3,0.045486,0.254962,0
AS,0.016255,FAI,SEA,3,0.048985,0.314504,0
DL,0.284398,ANC,SLC,3,0.052484,0.412214,0
AS,0.014207,ANC,SEA,3,0.055983,0.305344,0
HA,0.002048,LAS,HNL,3,0.062981,0.580153,1
US,0.015487,ANC,PHX,3,0.072078,0.499237,1
AS,0.014463,ANC,SEA,3,0.097971,0.305344,0
B6,0.097914,BQN,MCO,3,0.160952,0.258015,0
B6,0.09817,PSE,MCO,3,0.176347,0.274809,0
HA,0.026238,HNL,OGG,3,0.202939,0.054962,1
OO,0.607321,BIS,MSP,3,0.202939,0.129771,0
OO,0.827467,IYK,LAX,3,0.202939,0.080916,0
US,0.129272,EWR,CLT,3,0.202939,0.169466,0
US,0.25368,BOS,CLT,3,0.202939,0.206107,0
HA,0.013695,HNL,KOA,3,0.204339,0.062595,0
OO,0.883015,MKE,ORD,3,0.204339,0.067176,0
9E,0.508639,GFK,MSP,3,0.206438,0.103817,0
HA,0.012927,HNL,ITO,3,0.206438,0.074809,0
OO,0.617944,OMA,MSP,3,0.206438,0.114504,0
OH,0.811084,GSO,ATL,3,0.213436,0.141985,1
OO,0.832459,LMT,SFO,3,0.213436,0.145038,0
US,0.018943,SEA,PHX,3,0.213436,0.253435,1
US,0.209779,MCO,CLT,3,0.213436,0.148092,0
US,0.116089,TPA,CLT,3,0.213436,0.146565,0
HA,0.013439,HNL,OGG,3,0.214836,0.054962,0
9E,0.493152,DLH,MSP,3,0.216935,0.08855,1
DL,0.16319,MSP,ATL,3,0.216935,0.241221,0
OO,0.595162,FAR,MSP,3,0.216935,0.094656,1
CO,0.202739,MFE,IAH,3,0.220434,0.09771,0
CO,0.028286,MSY,IAH,3,0.220434,0.10687,0
EV,0.635479,VPS,ATL,3,0.220434,0.105344,0
US,0.194548,BWI,CLT,3,0.220434,0.126718,0
XE,0.361705,MAF,IAH,3,0.220434,0.129771,0
OO,0.603865,LWS,SLC,3,0.222533,0.132824,1
9E,0.473698,RST,MSP,3,0.223933,0.076336,0
9E,0.483041,ALB,DTW,3,0.223933,0.183206,1
9E,0.497248,DSM,ATL,3,0.223933,0.206107,1
AA,0.218866,BOS,MIA,3,0.223933,0.320611,0
CO,0.078075,EWR,IAH,3,0.223933,0.355725,0
DL,0.146167,CHS,ATL,3,0.223933,0.109924,0
DL,0.193268,MSN,DTW,3,0.223933,0.122137,0
DL,0.194164,MCO,ATL,3,0.223933,0.128244,0
DL,0.217202,JAX,ATL,3,0.223933,0.122137,0
DL,0.235633,SAT,ATL,3,0.223933,0.216794,0
DL,0.252272,TPA,ATL,3,0.223933,0.129771,0
DL,0.262767,PNS,ATL,3,0.223933,0.114504,0
DL,0.270191,BHM,ATL,3,0.223933,0.08855,0
DL,0.295021,LIT,ATL,3,0.223933,0.148092,0
DL,0.346858,SAV,ATL,3,0.223933,0.099237,0
DL,0.383207,BNA,ATL,3,0.223933,0.10229,0
EV,0.632152,OMA,ATL,3,0.223933,0.224427,0
EV,0.641623,ICT,ATL,3,0.223933,0.201527,0
EV,0.645463,ECP,ATL,3,0.223933,0.103817,0
EV,0.654806,DHN,ATL,3,0.223933,0.10687,0
EV,0.690132,MGM,ATL,3,0.223933,0.087023,0
EV,0.707923,CAE,ATL,3,0.223933,0.09771,1
EV,0.909638,PWM,IAD,3,0.223933,0.174046,0
OO,0.885191,ACV,SMF,3,0.223933,0.099237,0
OO,0.995776,EKO,SLC,3,0.223933,0.10687,0
US,0.164853,BOS,PHL,3,0.223933,0.128244,0
US,0.18162,PHL,CLT,3,0.223933,0.155725,0
US,0.221554,ATL,CLT,3,0.223933,0.103817,1
US,0.044285,PDX,PHX,3,0.223933,0.225954,0
US,0.116729,RIC,CLT,3,0.223933,0.109924,0
XE,0.289517,BTR,IAH,3,0.223933,0.109924,1
