@relation luxembourg-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 {0,1}
@attribute att7 {0,1}
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 {0,1}
@attribute att19 {0,1}
@attribute att20 {0,1}
@attribute att21 {0,1}
@attribute att22 {0,1}
@attribute att23 {0,1}
@attribute att24 {0,1}
@attribute att25 {0,1}
@attribute att26 {0,1}
@attribute att27 {0,1}
@attribute att28 {0,1}
@attribute att29 {0,1}
@attribute att30 {0,1}
@attribute att31 numeric
@attribute class {0,1}

@data

0.57143,0.14286,1.0,0.5,0.6,1,1,0.2,0.16667,0.5,0.83333,0.0,1.0,0.285717,0.658225,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
0.57143,0.14286,0.66667,0.6,0.5,1,1,1.0,1.0,0.0,1.0,0.0,1.0,0.285717,0.962024,0.030769,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00198,1
0.71429,0.28571,0.0,0.8,0.9,0,1,0.8,0.5,0.0,1.0,0.0,1.0,0.571446,0.367085,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.003465,0
0.85714,0.28571,0.33333,0.3,0.4,1,1,0.7,0.16667,0.5,1.0,0.0,1.0,0.142858,0.620249,0.030769,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00363,0
0.42857,0.14286,0.66667,0.6,0.0,1,1,0.6,0.5,0.25,0.83333,0.0,1.0,0.285717,0.911389,0.030769,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.004588,1
1.0,0.14286,0.66667,0.4,0.5,1,1,0.9,0.33333,0.25,1.0,0.0,1.0,0.428584,0.886083,0.030769,0.33333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.005182,1
0.28571,0.0,0.33333,0.4,0.4,0,1,0.8,0.83333,0.0,1.0,0.0,1.0,0.285717,0.974682,0.030769,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.006139,0
0.14286,0.14286,0.33333,0.9,0.1,1,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.784813,0.076922,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006205,0
0.57143,0.14286,0.0,0.0,0.0,0,0,1.0,1.0,0.25,1.0,0.0,1.0,0.428584,0.607602,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006205,0
0.71429,0.28571,0.33333,0.8,0.8,0,1,0.8,0.83333,0.0,0.83333,0.0,1.0,0.571446,0.670884,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.006304,0
0.85714,0.57143,0.33333,0.3,0.0,1,1,1.0,1.0,0.0,0.16667,0.0,1.0,0.0,0.468355,0.076922,0.16667,0,1,1,1,1,1,1,1,1,1,1,1,1,0.00637,0
1.0,0.28571,1.0,0.5,0.1,0,1,1.0,0.0,0.5,0.16667,0.0,0.75,0.142858,0.341768,0.0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.006436,1
0.85714,0.28571,0.66667,0.0,0.0,1,1,0.9,0.5,0.25,1.0,0.0,0.25,0.428584,0.759495,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006436,1
0.42857,0.28571,0.33333,0.2,0.6,0,1,0.8,0.33333,0.25,1.0,0.0,1.0,0.142858,0.506332,0.015384,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006568,0
0.71429,0.28571,0.0,0.5,0.7,1,1,0.7,0.16667,0.5,1.0,0.0,1.0,0.142858,0.291144,0.0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.006568,0
0.57143,0.42857,1.0,0.5,0.2,0,1,1.0,0.0,0.25,0.16667,0.0,1.0,0.142858,0.341768,0.0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.006568,1
0.42857,0.28571,0.0,0.5,0.7,0,0,0.8,0.5,0.5,0.83333,0.0,1.0,0.285717,0.41772,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.006634,0
0.14286,0.14286,0.33333,0.3,0.4,1,1,0.9,0.83333,0.25,1.0,0.0,1.0,0.428584,0.860765,0.0,0.83333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0067,0
0.57143,0.0,0.66667,0.3,0.2,1,1,0.7,0.33333,0.0,0.33333,0.0,1.0,0.142858,0.51899,0.015384,0.33333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0067,1
0.85714,0.14286,0.33333,0.2,0.2,1,1,0.7,0.33333,0.25,1.0,0.0,1.0,0.142858,0.645566,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.007591,0
1.0,0.57143,0.33333,0.8,1.0,1,1,1.0,0.16667,0.25,1.0,0.0,1.0,0.285717,0.278486,0.015384,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.007591,0
0.42857,0.28571,0.66667,0.7,1.0,1,1,0.8,0.5,0.0,1.0,0.0,1.0,0.285717,0.759495,0.030769,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.007657,1
0.57143,0.0,0.33333,0.8,0.5,0,1,0.8,1.0,0.25,0.83333,0.0,1.0,0.285717,0.898742,0.030769,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.008053,0
0.42857,0.28571,0.66667,0.5,0.3,1,1,0.6,0.5,0.5,0.66667,0.0,0.75,0.428584,0.835448,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008086,1
0.85714,0.14286,0.33333,0.0,0.0,1,1,0.9,0.66667,0.5,1.0,0.0,1.0,0.0,0.367085,0.076922,0.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008152,0
0.85714,0.14286,0.66667,0.7,0.6,0,1,0.8,0.66667,0.25,0.66667,0.0,0.25,0.428584,0.886083,0.030769,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008152,1
0.71429,0.14286,0.66667,0.7,0.6,0,1,0.5,0.16667,0.5,1.0,0.0,0.5,0.285717,0.746836,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008152,1
1.0,0.0,0.33333,1.0,0.5,1,1,1.0,0.33333,0.5,0.5,0.0,1.0,0.285717,0.594943,0.0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.008152,0
0.28571,0.0,1.0,0.6,0.5,0,1,0.9,0.83333,0.0,1.0,0.0,1.0,0.428584,0.860765,0.030769,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.008218,1
0.42857,0.14286,0.33333,0.5,0.1,1,1,0.6,1.0,0.25,0.83333,0.0,1.0,0.428584,0.873424,0.030769,0.83333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.009241,0
1.0,0.28571,0.33333,0.7,0.5,1,1,1.0,0.16667,0.0,0.0,0.0,0.5,0.571446,0.670884,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009241,0
1.0,0.28571,0.66667,0.9,0.9,1,1,0.5,0.5,0.0,0.83333,0.0,1.0,0.571446,0.898742,0.030769,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.009439,1
1.0,0.14286,0.33333,0.5,0.5,1,1,0.9,0.5,0.25,1.0,0.0,1.0,0.285717,0.620249,0.0,0.16667,1,1,1,1,1,1,1,1,1,1,1,1,1,0.009505,0
1.0,0.14286,0.66667,0.0,0.0,1,1,1.0,0.16667,0.0,1.0,0.0,1.0,0.142858,0.405062,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009505,1
1.0,1.0,0.33333,0.7,0.5,0,1,0.6,0.33333,0.5,0.33333,0.0,1.0,0.285717,0.291144,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009571,0
1.0,0.28571,0.0,0.4,0.4,1,1,1.0,0.66667,0.25,1.0,0.0,1.0,0.285717,0.544308,0.0,0.33333,1,0,0,0,0,0,0,0,0,0,0,0,0,0.009637,0
0.57143,0.0,1.0,0.5,0.6,1,1,1.0,0.83333,0.0,0.0,0.0,0.75,0.428584,0.835448,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.009703,1
